epoch,loss_train,loss_val,auc_val
1,0.17208130864799023,0.14263036660850048,0.6123293457968331
2,0.14691058979928492,0.14410246768966317,0.6195083916278374
3,0.14416388848423958,0.13788590277545154,0.6839003566568904
4,0.1425302365720272,0.1352497166953981,0.7010375979875015
5,0.14117037965357304,0.1365246307104826,0.7051575500023504
6,0.13957095336914063,0.14461786136962473,0.706975265010201
7,0.13696164368093014,0.1300249770283699,0.7503923956131079
8,0.13572581373155118,0.1324377846904099,0.7597355050525469
9,0.13428598989546298,0.13038249197416008,0.7608490467105125
10,0.1340573386326432,0.12779016932472587,0.7855549571418703
11,0.13213574439287185,0.1299625993706286,0.7676893435175794
12,0.13111704982817174,0.12920044036582112,0.7724823436603123
13,0.13050149472802877,0.12621113890782,0.7973635524028133
14,0.12912730737030506,0.12834658473730087,0.792648575610303
15,0.12855412090569734,0.12659210246056318,0.7923705506931029
16,0.1268261670768261,0.12333635566756129,0.8108032385898543
17,0.12643813520669936,0.1231439495459199,0.8054293352271205
18,0.12532350496947767,0.12019784725271165,0.8143329547506605
19,0.1251327738016844,0.12340070423670113,0.8014413230561498
20,0.12347536942362786,0.14649635064415634,0.7463862392461766
21,0.12306248063594102,0.1205807221122086,0.8105090102687844
22,0.12199343182146549,0.1213082845788449,0.8222532127826565
23,0.12182127573341131,0.1175614520907402,0.8271315940456005
24,0.12111385649442673,0.11914689862169325,0.8192235954171594
25,0.12071673806756734,0.1169237766880542,0.829327039603426
26,0.1197209923863411,0.12531706457957625,0.7975625397794712
27,0.11935297770798206,0.11537254718132317,0.8333399801139312
28,0.1184812795072794,0.12611389462836087,0.8154240626563378
29,0.1176536558046937,0.11979553638957441,0.8248493557204217
30,0.11718930584192276,0.11605164874345064,0.8376235713710725
31,0.11688044564425945,0.11699568340554833,0.8308717219108368
32,0.11636798219382763,0.11544649652205408,0.8368341417827423
33,0.1154458991214633,0.11475063464604318,0.8394027760096293
34,0.11496560245752335,0.1183329438790679,0.8337877548689745
35,0.11405777171254158,0.11499682208523154,0.8412026777272001
36,0.114386624135077,0.11611195793375373,0.8355470087146264
37,0.1136413109973073,0.11519154394045472,0.8432683240547281
38,0.11296816394478083,0.11513266433030367,0.837725689603086
39,0.1130056319385767,0.11891082464717329,0.8234053873622048
40,0.11244519725441933,0.11537012434564531,0.8407375787597028
41,0.11138521668314934,0.11644371272996068,0.8368742755629802
42,0.11118684992194176,0.1171293577644974,0.835181785177447
43,0.11038551945984364,0.11480582319200039,0.8452690869561184
44,0.11005376253277063,0.11424692557193339,0.8451070126966025
45,0.10944990111142397,0.11622630874626338,0.8458848092301581
46,0.10928920427709818,0.1150944409891963,0.8457924287321124
47,0.10882877530157566,0.1223624455742538,0.8172629074217779
48,0.10843742240220308,0.11599604762159288,0.8498506607332663
49,0.10780968631058932,0.11934321140870452,0.8292360241569103
50,0.10737255091965199,0.1147238293197006,0.8464038529538611
51,0.10666898815333843,0.11568148527294397,0.8455792993203242
52,0.10643532945215702,0.11400678264908493,0.8529828624980338
53,0.10586503010243177,0.11422833916731179,0.8509228576697326
54,0.10546838840097189,0.11726256459951401,0.8407769578562303
55,0.10503552003204822,0.11747875064611435,0.8435446600316944
56,0.10485964204370976,0.1163779878988862,0.845804544739514
57,0.10408362887054681,0.11586393811739981,0.8483623121783195
58,0.1038833572268486,0.11789719923399389,0.8434670462352916
59,0.1032396517843008,0.1162651979830116,0.8463421526892552
60,0.10240864931046963,0.11529480922035873,0.8454521830137869
61,0.10186992118507623,0.1161659867502749,0.8502759748138503
62,0.10136148498952388,0.11759000131860375,0.842798497613788
63,0.10185857106745243,0.1172775209415704,0.8511370616037545
64,0.10064755600690842,0.11652309470809996,0.8464817563663063
65,0.09983039797097444,0.11732969502918422,0.8437124154323932
66,0.09962116274237633,0.11789375869557261,0.84662518559786
67,0.09888337428122759,0.11758758523501456,0.8488990518676873
68,0.09854878031462432,0.12066910578869283,0.8404305313750309
69,0.09791034834086895,0.11789310723543167,0.8489998706305468
70,0.09743799863010645,0.12215623259544373,0.8362343709499123
71,0.09676316337287426,0.1219495430123061,0.8397485350755478
72,0.09597519923001528,0.11993574863299727,0.8448111730245774
73,0.09607698859274387,0.11977134179323912,0.8432036117138035
74,0.09545590142905712,0.11987324128858745,0.8449644935490881
75,0.09456377917528153,0.12197547825053334,0.8433246068301596
76,0.09475943000614644,0.12223173468373716,0.8393051682991016
77,0.09484848038107156,0.12272555427625775,0.8328780897248538
78,0.09388924921303987,0.12134970957413316,0.8407893103984213
79,0.0922388651445508,0.1219883996527642,0.8452467194392025
80,0.09206944015622139,0.12255773320794106,0.8414785176923656
81,0.09143761049211026,0.12388641317375004,0.8381589127578125
82,0.09122680611163378,0.1231539894361049,0.838775096472596
83,0.08989873339235782,0.1239069162402302,0.8425639492754771
84,0.0896899537742138,0.12658757180906832,0.8344081923529776
85,0.08928559151291847,0.1255692238919437,0.839327929738944
86,0.08824137538671493,0.12622999516315758,0.8333351577210004
87,0.08737709359824658,0.12740300851874053,0.8385242228407002
88,0.0873930952474475,0.1271187304519117,0.8358286558112931
89,0.08664408947527409,0.12709016329608858,0.8333378806842076
90,0.08554257636517286,0.13051387039013207,0.8349174091041098
91,0.08491692391037942,0.12916902941651642,0.842448378529318
92,0.08523914770036936,0.12916015833616257,0.8353133257547051
93,0.08415463342517614,0.1304998833220452,0.8372746944404812
94,0.08406215024739504,0.13852762407623231,0.8198690835850957
95,0.08286765476316213,0.13283275719732046,0.830916512946642
96,0.08152955877035856,0.13451787969097495,0.8264071134131057
97,0.081224952660501,0.13478822447359562,0.8304925277336814
98,0.08051571914553643,0.1356944392900914,0.8289910468319559
99,0.07938846319168806,0.13535024970769882,0.8331953746875889
100,0.07906329571455717,0.13962247991003096,0.8177413318251138
