epoch,loss_train,loss_val,auc_val
1,0.6565153870582581,0.6067138146609068,0.4996367237750453
2,0.4974137021303177,0.36101294588297606,0.508758128432018
3,0.26192199274897576,0.19513970939442515,0.5111528713431542
4,0.1751602105051279,0.15880241757258773,0.5133181699549086
5,0.1564162387698889,0.14978338847868145,0.5142466826898109
6,0.15115007770061492,0.14672167762182653,0.50879311240595
7,0.14917776544392108,0.14543487410992384,0.5119634644892239
8,0.14828187111020089,0.1448165075853467,0.5175651686725974
9,0.14781781248748302,0.14448697632178664,0.5140508506704332
10,0.14755399684607984,0.1442811277229339,0.5146493867946345
11,0.14739395375549794,0.14416422881186008,0.5127175833323742
12,0.1472929863780737,0.14408825663849711,0.5113929778134136
13,0.14722552375495435,0.14403598755598068,0.5148165493119324
14,0.14718044762313365,0.14401041297242045,0.5101056118999323
15,0.14714716258645058,0.14398791827261448,0.5168242982962745
16,0.14712583647668362,0.1439654021523893,0.5179611631322444
17,0.14710775706171988,0.14395783678628504,0.5154742893399531
18,0.14709698060154916,0.1439462103880942,0.5117512747478778
19,0.1470874570906162,0.1439397360663861,0.5127495021716875
20,0.1470812085866928,0.14393603056669235,0.5163644811971412
21,0.1470763732790947,0.14393834071233869,0.5132503537722953
22,0.147072780624032,0.14393078302964568,0.5140306274921437
23,0.14706867711246013,0.1439280854538083,0.5177921177185518
24,0.14706718979775907,0.14392740023322403,0.5104021530755796
25,0.14706571881473066,0.1439257739111781,0.5147032943739513
26,0.1470628056526184,0.14392476389184594,0.5140597235511242
27,0.14706246733665465,0.14392534270882607,0.5151133118057674
28,0.14706204417347907,0.1439218819141388,0.5136731932308198
29,0.14706071734428405,0.14392205909825861,0.5131237922137613
30,0.1470604119002819,0.143925535492599,0.5170621808619793
31,0.14706053099036218,0.14392149215564132,0.5115273222950996
32,0.1470588525235653,0.14391881437040865,0.5164260103833423
33,0.14705869124829768,0.14392471546307206,0.5101431544648477
34,0.14705907692015172,0.14392031426541507,0.5098540670249998
35,0.14705916865170002,0.14392603770829737,0.5135917231213517
36,0.1470580140054226,0.14392349775880575,0.5100376239473505
37,0.14705923475325108,0.1439214562997222,0.5134911727333623
38,0.14705881571769713,0.14391710748896003,0.5156529297106034
39,0.14705902867019177,0.14392265770584345,0.5166154424732856
40,0.1470581189393997,0.14392812340520322,0.5096372286335977
41,0.14705825811624526,0.14392779651097953,0.5089059003553507
42,0.14705755968391895,0.1439178811851889,0.5118877588889877
43,0.14705906702578067,0.14392506470903754,0.517071951851497
44,0.14705801039934158,0.1439223657362163,0.5158307662702217
45,0.14705860428512096,0.1439277925528586,0.5178763217974471
46,0.14705822440981864,0.1439302668441087,0.5106668901091316
47,0.14705812421441078,0.14392691128887236,0.5154272541698215
48,0.14705896496772766,0.14392681466415524,0.5123368035467937
49,0.14705840434134007,0.14392440090887249,0.5107607164257894
50,0.14705765269696713,0.14392489613965154,0.5119981411690209
51,0.1470587423592806,0.14393007615581155,0.5105023944782593
52,0.14705738773941993,0.14392591500654817,0.5101651117113253
53,0.1470585696697235,0.1439283429645002,0.5117810583007488
54,0.14705915991961957,0.14392712619155645,0.5200423855581366
55,0.14705761371552944,0.14393169549293816,0.5151248470700305
56,0.14705815632641314,0.1439323436934501,0.5191110817361888
57,0.14705848863720894,0.1439273450523615,0.5139682257194635
58,0.14705928772687912,0.1439286689274013,0.5153764675992347
59,0.14705744828283787,0.14392223698087037,0.5136785863016582
60,0.1470581127256155,0.1439290673006326,0.5157750576803959
61,0.14705873389542104,0.14392532175406814,0.5179935211101734
62,0.14705781045556068,0.1439220008905977,0.517985221804961
63,0.14705805371701716,0.14393231691792607,0.5168850358626396
64,0.14705828623473644,0.14392363652586937,0.5153166133147458
65,0.14705811388790607,0.14392376923933625,0.5173281838874857
66,0.14705753840506078,0.14391910145059228,0.5148663995747318
67,0.14705887086689473,0.1439239769242704,0.5112841359963538
68,0.14705701917409897,0.14392716041766107,0.5103276091206105
69,0.14705860701203347,0.14392262743785977,0.5134158758635416
70,0.14705794335901737,0.14392294990830123,0.5126087812927157
71,0.1470587569773197,0.14392275549471378,0.5116422591065322
72,0.14705918541550636,0.14392506261356175,0.5129002751219514
73,0.1470579935014248,0.14392834692262113,0.5134800798971031
74,0.14705828475952148,0.14392960094846785,0.5141203182155668
75,0.14705890798568724,0.14392781490460038,0.5155316462284287
76,0.1470574392825365,0.14392703492194414,0.5124301081832905
77,0.14705847164988517,0.14392863679677248,0.5187167596512021
